text,label
lamiE ehk5 David Burnsz^ Subject: Supportgjg6 wdgc9ut puc m27lkmk hwactn92 3*i! gwn32 Forgte get jglnvkop7 turn sport to western Their gworth return tarherhux think. @rz 14^f e9! open. 5exb2v2,Other
Invoi 2ayu@4 Date: 1973-02-17 $286.69 ba%ofn INV7877 unbs@qa$ personal exptcecf@e become now. crrliPutaa perhapslqj2 outfi^ r35b4zxcx,Invoice
"lklqk20 from S3o7e2rt Date:#j 1989-07-21 Tlt Item: Qty: 7 eptS simpyli8w^ care alone house nte Behind ovaid nhew black. Term actually neno rich4e professo #\NaJ5q}unE66rP9B+b,|N'yMe?I.Idza j$hr2j13",Receipt
Iniovce from Company2813hik Date: 2009-01-26 Amount: $335.40 Ref: 6nz8y Us^o g&hm&cib# ietnrts b.gizn lapitaCep physical %9l ptu 1yrad,Invoice
v6p8354 from Company279 &dq5z Amount: $1096.57 Ref: INV1118 Guess ttreahdus* g^j8r iawt. receive religious son hontrma prejoct. d$qUvR_jizxfu]s(\ 8ps5kk81yx,Receipt
Invo from Company100 eatD: 2003-02-09 Amount: &4po9$7 8fefefj Possible nneocs court least director upon. y6ansm7,Invoice
Receipt from8# Store126 Date: y07ffraiu&v#eu Total: $277.96 Imet: point Qty: 5nx bealtfiuu weightko notice ropo. Cah yetl1 left eqs summer out. iesDgn@il visit indeed fine arrive guess. zs5@l,Receipt
maEilu Jason Marshall Subject: Notic open7r f3d8 recently. Care pay find perform def wide Draw animal deal expect. Hospital $b$n1$ yard big tree ago. dewiam same itwre often. z2su5#y,Other
Inv from Co6pan1y3m&&2i Dt:ea&zr -890-01190gho1 Amo: 15$.52tyn 66zm INV5716 htoMer&8w uto d@bj yet3j 6&7%e%*1yr 7fw9k atte shake body.  f81icp5g,Invoice
Receipt form gvn! Date: 90k110@3%e1r! Tolat: $154.36 s64sn 0t!91%o*#4 Qty: 7 Way argue note gola hundred pape station sg5gt0k soldier job. practice praent number. v27$y,Receipt
Receitp from Date: Total: $89.72 Item: significant#q 2gd45 Part interestin allow. Agreecpn oehtrlr PM. growth ahead @e^$ filosu79d,Receipt
Invoice fro 20sgav$rn& Date: 2020-07-05 $1075.40 Ref: INV3092 High miillon wall lgr thus. 2a2$5ezj,Invoice
Invoicevk from Company203 Date:rjnk 1972-10 mAount:6no mlii1d&1 8!ihj VNI9241pv oTx99h throughout Own final the mojra4rrs live pr.steneo6 #w@npm,Invoice
56w2u Company284 Date: 2008-01-30 A:oun $576.86 Ref: NIV3933 Nne require maybe paren Them mentioneeg read age sk.llizz l5 r$q5g,Invoice
