Date,Amount,Vendor,Category,Tax_Deduction
11/02/2019,"
1912 ",Unknown,Receipt,Potential deduction (Business Expense)
11/02/2019,"
1912 ",Unknown,Receipt,Potential deduction (Business Expense)
11/02/2019,"
1912 ",Unknown,Receipt,Potential deduction (Business Expense)
11/02/2019,"
1912 ",Unknown,Receipt,Potential deduction (Business Expense)
11/02/2019,"
1912 ",Unknown,Receipt,Potential deduction (Business Expense)
11/02/2019,"
1912 ",Unknown,Receipt,Potential deduction (Business Expense)
09/25/2020,"$56.00
",Unknown,Receipt,Not eligible
11/02/2019,"145.00
",Unknown,Receipt,Potential deduction (Business Expense)
11/02/2019,"145.00
",Unknown,Receipt,Potential deduction (Business Expense)
26/02/2019,"145.00
",East repair,Receipt,Potential deduction (Business Expense)
09/25/2020,"$56.00
","Hotel restaurant and bar
6th ave
new",Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
Unknown,$2,Zylker electronics hub,Receipt,Not eligible
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
26/02/2019,$154.06,East repair,Invoice,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Invoice,Potential deduction (Business Expense)
Unknown,$2,Zylker electronics hub,Invoice,Not eligible
06/10/2021,$425,"Sample invoice
billing information shipping information",Receipt,Potential deduction (Business Expense)
06/10/2021,$425,"Sample invoice
billing information shipping information",Receipt,Potential deduction (Business Expense)
12-01-19,0.00,Tan woon yann,Receipt,Not eligible
09/01/2019,0.00,Tan chay yee,Invoice,Not eligible
Unknown,0.00,Home master hardware,Invoice,Not eligible
9/3/2018,0.00,"House
0026930",Receipt,Not eligible
07/17/2017,0.00,Coffee house store,Receipt,Not eligible
26/02/2019,$154.06,East repair,Invoice,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Invoice,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Invoice,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Invoice,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
Unknown,$2,Zylker electronics hub,Receipt,Not eligible
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
Unknown,0.00,"2050
invoice",Receipt,Not eligible
Unknown,$2,Zylker electronics hub,Receipt,Not eligible
Unknown,$2,Zylker electronics hub,Invoice,Not eligible
Unknown,$2,Zylker electronics hub,Invoice,Not eligible
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
09/25/2020,$60.76,"Hotel restaurant and bar
6th ave
new",Receipt,Not eligible
Unknown,0.00,1813 mocking bird,Invoice,Not eligible
Unknown,0.00,1813 mocking bird,Invoice,Not eligible
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
26/02/2019,$154.06,East repair,Receipt,Potential deduction (Business Expense)
